metric,bin,train_2023,test_2025_full,test_2025_matched
volume,0-50,0.012658,0.269565,0.014493
volume,50-100,0.299578,0.126087,0.304348
volume,100-150,0.240506,0.091304,0.246377
volume,150-200,0.236287,0.073913,0.173913
volume,200-250,0.118143,0.126087,0.159420
volume,250-300,0.059072,0.113043,0.072464
volume,300-350,0.025316,0.078261,0.028986
volume,350-400,0.000000,0.052174,0.000000
volume,400-450,0.004219,0.034783,0.000000
volume,450-500,0.004219,0.017391,0.000000
volume,500-550,0.000000,0.004348,0.000000
volume,550-600,0.000000,0.013043,0.000000
sphericity,0.680-0.700,0.000000,0.008696,0.000000
sphericity,0.700-0.720,0.000000,0.004348,0.000000
sphericity,0.720-0.740,0.000000,0.004348,0.000000
sphericity,0.740-0.760,0.000000,0.008696,0.000000
sphericity,0.760-0.780,0.000000,0.013043,0.000000
sphericity,0.780-0.800,0.000000,0.013043,0.000000
sphericity,0.800-0.820,0.000000,0.030435,0.000000
sphericity,0.820-0.840,0.000000,0.034783,0.000000
sphericity,0.840-0.860,0.000000,0.065217,0.000000
sphericity,0.860-0.880,0.008439,0.034783,0.000000
sphericity,0.880-0.900,0.008439,0.095652,0.086957
sphericity,0.900-0.920,0.029536,0.113043,0.101449
sphericity,0.920-0.940,0.105485,0.113043,0.217391
sphericity,0.940-0.960,0.379747,0.200000,0.231884
sphericity,0.960-0.980,0.447257,0.260870,0.362319
sphericity,0.980-1.000,0.021097,0.000000,0.000000
convexity,0.660-0.680,0.000000,0.004348,0.000000
convexity,0.680-0.700,0.000000,0.000000,0.000000
convexity,0.700-0.720,0.000000,0.008696,0.000000
convexity,0.720-0.740,0.000000,0.004348,0.000000
convexity,0.740-0.760,0.000000,0.008696,0.000000
convexity,0.760-0.780,0.000000,0.013043,0.000000
convexity,0.780-0.800,0.000000,0.021739,0.000000
convexity,0.800-0.820,0.000000,0.008696,0.000000
convexity,0.820-0.840,0.000000,0.017391,0.000000
convexity,0.840-0.860,0.000000,0.021739,0.000000
convexity,0.860-0.880,0.000000,0.047826,0.000000
convexity,0.880-0.900,0.004219,0.056522,0.014493
convexity,0.900-0.920,0.000000,0.052174,0.057971
convexity,0.920-0.940,0.004219,0.047826,0.086957
convexity,0.940-0.960,0.016878,0.086957,0.086957
convexity,0.960-0.980,0.147679,0.347826,0.347826
convexity,0.980-1.000,0.827004,0.252174,0.405797
